dungeon_id,folder,dungeon_name,number_floors,mappa_index,start_after
99,099_Zero Isle North,Zero Isle North,75,59,0
100,100_Zero Isle East,Zero Isle East,40,61,0
101,101_Zero Isle West,Zero Isle West,40,60,0
102,102_Zero Isle South,Zero Isle South,99,62,0
103,103_Zero Isle Center,Zero Isle Center,50,64,0
104,104_Destiny Tower,Destiny Tower,99,65,0
105,105_[MD1]Dummy,[M:D1]Dummy,10,66,0
106,106_[MD1]Dummy,[M:D1]Dummy,5,67,0
107,107_Oblivion Forest,Oblivion Forest,15,68,0
108,108_Treacherous Waters,Treacherous Waters,20,69,0
109,109_Southeastern Islands,Southeastern Islands,25,70,0
110,110_Inferno Cave,Inferno Cave,30,71,0
111,111_1st Station Pass,1st Station Pass,3,72,0
112,112_2nd Station Pass,2nd Station Pass,3,72,3
113,113_3rd Station Pass,3rd Station Pass,3,72,6
114,114_4th Station Pass,4th Station Pass,3,72,9
115,115_5th Station Pass,5th Station Pass,4,72,12
116,116_6th Station Pass,6th Station Pass,4,72,16
117,117_7th Station Pass,7th Station Pass,4,72,20
118,118_8th Station Pass,8th Station Pass,4,72,24
119,119_9th Station Pass,9th Station Pass,5,72,28
120,120_Sky Peak Summit Pass,Sky Peak Summit Pass,5,72,33
121,121_5th Station Clearing,5th Station Clearing,1,72,38
122,122_Sky Peak Summit,Sky Peak Summit,1,72,39
123,123_Star Cave,Star Cave,7,73,0
124,124_Deep Star Cave,Deep Star Cave,4,73,7
125,125_Deep Star Cave,Deep Star Cave,1,73,11
126,126_Star Cave Depths,Star Cave Depths,4,73,12
127,127_Star Cave Pit,Star Cave Pit,1,73,16
128,128_Murky Forest,Murky Forest,7,74,0
129,129_Eastern Cave,Eastern Cave,10,75,0
130,130_Fortune Ravine,Fortune Ravine,8,76,0
131,131_Fortune Ravine Depths,Fortune Ravine Depths,6,76,8
132,132_Fortune Ravine Pit,Fortune Ravine Pit,1,76,14
133,133_Barren Valley,Barren Valley,5,77,0
134,134_Deep Barren Valley,Deep Barren Valley,5,77,5
135,135_Barren Valley Clearing,Barren Valley Clearing,1,77,10
136,136_Dark Wasteland,Dark Wasteland,4,78,0
137,137_Temporal Tower,Temporal Tower,10,79,0
138,138_Temporal Spire,Temporal Spire,10,79,10
139,139_Dusk Forest,Dusk Forest,7,80,0
140,140_Black Swamp,Black Swamp,1,80,7
141,141_Spacial Cliffs,Spacial Cliffs,10,81,0
142,142_Dark Ice Mountain,Dark Ice Mountain,10,82,0
143,143_Dark Ice Mountain Peak,Dark Ice Mountain Peak,4,82,10
144,144_Dark Ice Mountain Pinnacle,Dark Ice Mountain Pinnacle,1,82,14
145,145_Icicle Forest,Icicle Forest,10,83,0
146,146_Vast Ice Mountain,Vast Ice Mountain,9,84,0
147,147_Vast Ice Mountain Peak,Vast Ice Mountain Peak,8,84,9
148,148_Vast Ice Mountain Pinnacle,Vast Ice Mountain Pinnacle,1,84,17
149,149_Southern Jungle,Southern Jungle,10,85,0
150,150_Boulder Quarry,Boulder Quarry,5,86,0
151,151_Deep Boulder Quarry,Deep Boulder Quarry,5,86,5
152,152_Boulder Quarry Clearing,Boulder Quarry Clearing,1,86,10
153,153_Right Cave Path,Right Cave Path,5,87,0
154,154_Left Cave Path,Left Cave Path,5,88,0
155,155_Limestone Cavern,Limestone Cavern,5,89,0
156,156_Deep Limestone Cavern,Deep Limestone Cavern,5,89,5
157,157_Limestone Cavern Depths,Limestone Cavern Depths,1,89,10
158,158_Spring Cave,Spring Cave,4,90,0
159,159_Upper Spring Cave,Upper Spring Cave,1,90,4
160,160_Upper Spring Cave,Upper Spring Cave,4,90,5
161,161_Middle Spring Cave,Middle Spring Cave,1,90,9
162,162_Lower Spring Cave,Lower Spring Cave,4,90,10
163,163_Spring Cave Depths,Spring Cave Depths,4,90,14
164,164_Spring Cave Pit,Spring Cave Pit,1,90,18
165,165_[MD1]Dummy,[M:D1]Dummy,5,92,0
166,166_[MD1]Dummy,[M:D1]Dummy,6,93,0
167,167_[MD1]Dummy,[M:D1]Dummy,7,94,0
168,168_[MD1]Dummy,[M:D1]Dummy,6,95,0
169,169_[MD1]Dummy,[M:D1]Dummy,5,96,0
170,170_[MD1]Dummy,[M:D1]Dummy,5,97,0
171,171_[MD1]Dummy,[M:D1]Dummy,5,98,0
172,172_[MD1]Dummy,[M:D1]Dummy,5,99,0
173,173_[MD1]Dummy,[M:D1]Dummy,5,99,5
174,174_Star Cave,Star Cave,16,91,0
175,175_Shaymin Village,Shaymin Village,3,79,0
176,176_Armaldo's Shelter,Armaldo's Shelter,3,79,3
177,177_Luminous Spring,Luminous Spring,3,79,6
178,178_Hot Spring,Hot Spring,6,79,9
179,179_Rescue,Rescue,1,63,0
180,180_NormalFly Maze,Normal/Fly Maze,5,,
181,181_DarkFire Maze,Dark/Fire Maze,5,,
182,182_RockWater Maze,Rock/Water Maze,5,,
183,183_Grass Maze,Grass Maze,5,,
184,184_ElecSteel Maze,Elec/Steel Maze,5,,
185,185_IceGround Maze,Ice/Ground Maze,5,,
186,186_FightPsych Maze,Fight/Psych Maze,5,,
187,187_PoisonBug Maze,Poison/Bug Maze,5,,
188,188_Dragon Maze,Dragon Maze,5,,
189,189_Ghost Maze,Ghost Maze,5,,
190,190_Explorer Maze,Explorer Maze,1,,
191,191_Final Maze,Final Maze,48,,
