0x0 	Nothing 	なし
0x81 	Gold Gummi 	きんいろグミ
0x82 	Green Gummi 	みどりグミ
0x83 	Gray Gummi 	はいいろグミ
0x84 	Purple Gummi 	むらさきグミ
0x85 	Royal Gummi 	こんいろグミ
0x86 	Black Gummi 	くろいグミ
0x87 	Silver Gummi 	ぎんいろグミ
0x88 	Wonder Gummi 	ふしぎなグミ
0x89 	Gravelyrock 	ゴローソのいし
0x8a 	$$$ 	$$$
0x8b 	Upgrade 	アップグレード
0x8c 	King's Rock 	おうじゃのしるし
0x8d 	Thunderstone 	かみなりのいし
0x8e 	Deepseascale 	しんかいのウロコ
0x8f 	Deepseatooth 	しんかいのキバ
0x90 	Sun Stone 	たいようのいし
0x91 	Moon Stone 	つきのいし
0x92 	Fire Stone 	ほのおのいし
0x93 	Water Stone 	みずのいし
0x94 	Metal Coat 	メタルコート
0x95 	Leaf Stone 	リーフのいし
0x96 	Dragon Scale 	りゅうのウロコ
0x97 	Link Cable 	つうしんケーブル
0x98 	Dubious Disc 	あやしいパッチ
0x99 	Protector 	プロテクター
0x9a 	Reaper Cloth 	れいかいのぬの
0x9b 	Razor Fang 	するどいキバ
0x9c 	Razor Claw 	するどいツメ
0x9d 	Electirizer 	エレキブースター
0x9e 	Magmarizer 	マグマブースター
0x9f 	Oval Stone 	まんまるいし
0xa0 	Dawn Stone 	めざめいし
0xa1 	Shiny Stone 	ひかりのいし
0xa2 	Dusk Stone 	やみのいし
0xa3 	Coronet Rock 	テンガンざんせき
0xa4 	Mossy Rock 	こけむしたいわ
0xa5 	Frozen Rock 	とうけつしたいわ
0xa6 	$$$ 	$$$
0xa7 	Gone Pebble 	なしのつぶて
0xa8 	Wander Gummi 	ふしぎなゴミ
0xa9 	Prize Ticket 	クジびきけん
0xaa 	Silver Ticket 	シルバークジ
0xab 	Gold Ticket 	ゴールドクジ
0xac 	Prism Ticket 	ビクトリークジ
0xad 	Mystery Part 	なぞのパーツ
0xae 	Secret Slab 	ひみつのせきばん
0xaf 	$$$ 	$$$
0xb0 	$$$ 	$$$
0xb1 	$$$ 	$$$
0xb2 	Wonder Egg 	ふしぎなタマゴ
0xb3 	Gracidea 	グラシデアのはな
0xb4 	Sky Gift 	そらのおくりもの
0xb5 	$$$ 	$$$
0xb6 	Key 	カギ
0xb7 	Poké 	ポケ
0xb8 	$$$ 	$$$
0xb9 	$$$ 	$$$
0xba 	Lost Loot 	まいぞうきん
0xbb 	Used TM 	しようごマシン
0xbc 	Focus Punch TM 	きあいパンチ
0xbd 	Dragon Claw TM 	ドラゴンクロー
0xbe 	Water Pulse TM 	みずのはどう
0xbf 	Calm Mind TM 	めいそう
0xc0 	Roar TM 	ほえる
0xc1 	Toxic TM 	どくどく
0xc2 	Hail TM 	あられ
0xc3 	Bulk Up TM 	ビルドアップ
0xc4 	Bullet Seed TM 	タネマシンガン
0xc5 	Hidden Power TM 	めざめるパワー
0xc6 	$$$ 	$$$
0xc7 	Taunt TM 	ちょうはつ
0xc8 	Ice Beam TM 	れいとうビーム
0xc9 	Blizzard TM 	ふぶき
0xca 	Hyper Beam TM 	はかいこうせん
0xcb 	Light Screen TM 	ひかりのかべ
0xcc 	Protect TM 	まもる
0xcd 	$$$ 	$$$
0xce 	Giga Drain TM 	ギガドレイン
0xcf 	Safeguard TM 	しんぴのまもり
0xd0 	Frustration TM 	やつあたり
0xd1 	SolarBeam TM 	ソーラービーム
0xd2 	Iron Tail TM 	アイアンテール
0xd3 	Thunderbolt TM 	10まんボルト
0xd4 	Thunder TM 	かみなり
0xd5 	Earthquake TM 	じしん
0xd6 	Return TM 	おんがえし
0xd7 	Dig TM 	あなをほる
0xd8 	Psychic TM 	サイコキネシス
0xd9 	Shadow Ball TM 	シャドーボール
0xda 	Brick Break TM 	かわらわり
0xdb 	$$$ 	$$$
0xdc 	Reflect TM 	リフレクター
0xdd 	Shock Wave TM 	でんげきは
0xde 	Flamethrower TM 	かえんほうしゃ
0xdf 	Sludge Bomb TM 	ヘドロばくだん
0xe0 	$$$ 	$$$
0xe1 	Fire Blast TM 	だいもんじ
0xe2 	$$$ 	$$$
0xe3 	Aerial Ace TM 	つばめがえし
0xe4 	Torment TM 	いちゃもん
0xe5 	Facade TM 	からげんき
0xe6 	Secret Power TM 	ひみつのちから
0xe7 	Rest TM 	ねむる
0xe8 	Attract TM 	メロメロ
0xe9 	Thief TM 	どろぼう
0xea 	Steel Wing TM 	はがねのつばさ
0xeb 	Skill Swap TM 	スキルスワップ
0xec 	$$$ 	$$$
0xed 	Overheat TM 	オーバーヒート
0xee 	Roost TM 	はねやすめ
0xef 	Focus Blast TM 	きあいだま
0xf0 	Energy Ball TM 	エナジーボール
0xf1 	False Swipe TM 	みねうち
0xf2 	Brine TM 	しおみず
0xf3 	Fling TM 	なげつける
0xf4 	Charge Beam TM 	チャージビーム
0xf5 	Endure TM 	こらえる
0xf6 	Dragon Pulse TM 	りゅうのはどう
0xf7 	Drain Punch TM 	ドレインパンチ
0xf8 	Will-O-Wisp TM 	おにび
0xf9 	Silver Wind TM 	ぎんいろのかぜ
0xfa 	Embargo TM 	さしおさえ
0xfb 	Explosion TM 	だいばくはつ
0xfc 	Shadow Claw TM 	シャドークロー
0xfd 	Payback TM 	しっぺがえし
0xfe 	Recycle TM 	リサイクル
0xff 	Giga Impact TM 	ギガインパクト
0x100 	Rock Polish TM 	ロックカット
0x101 	Wide Slash TM 	すいへいぎり
0x102 	$$$ 	$$$
0x103 	$$$ 	$$$
0x104 	Vacuum-Cut TM 	しんくうぎり
0x105 	Dive TM 	ダイビング
0x106 	Flash TM 	フラッシュ
0x107 	Stone Edge TM 	ストーンエッジ
0x108 	Avalanche TM 	ゆきなだれ
0x109 	Thunder Wave TM 	でんじは
0x10a 	Gyro Ball TM 	ジャイロボール
0x10b 	Swords Dance TM 	つるぎのまい
0x10c 	Stealth Rock TM 	ステルスロック
0x10d 	Psych Up TM 	じこあんじ
0x10e 	Captivate TM 	ゆうわく
0x10f 	Dark Pulse TM 	あくのはどう
0x110 	Rock Slide TM 	いわなだれ
0x111 	X-Scissor TM 	シザークロス
0x112 	Sleep Talk TM 	ねごと
0x113 	Natural Gift TM 	しぜんのめぐみ
0x114 	Poison Jab TM 	どくづき
0x115 	Dream Eater TM 	ゆめくい
0x116 	Grass Knot TM 	くさむすび
0x117 	Swagger TM 	いばる
0x118 	Pluck TM 	ついばむ
0x119 	U-turn TM 	とんぼがえり
0x11a 	Substitute TM 	みがわり
0x11b 	Flash Cannon TM 	ラスターカノン
0x11c 	Trick Room TM 	トリックルーム
0x11d 	Cut HM 	いあいぎり
0x11e 	Fly HM 	そらをとぶ
0x11f 	Surf HM 	なみのり
0x120 	Strength HM 	かいりき
0x121 	Defog HM 	きりばらい
0x122 	Rock Smash HM 	いわくだき
0x123 	Waterfall HM 	たきのぼり
0x124 	Rock Climb HM 	ロッククライム
0x125 	$$$ 	$$$
0x126 	$$$ 	$$$
0x127 	$$$ 	$$$
0x128 	$$$ 	$$$
0x129 	$$$ 	$$$
0x12a 	$$$ 	$$$
0x12b 	$$$ 	$$$
0x12c 	$$$ 	$$$
0x12d 	Hail Orb 	あられだま
0x12e 	Sunny Orb 	ひでりだま
0x12f 	Rainy Orb 	あめだま
0x130 	Evasion Orb 	ぶんしんだま
0x131 	Sandy Orb 	すなのたま
0x132 	Rocky Orb 	がんせきだま
0x133 	Snatch Orb 	よこどりのたま
0x134 	See-Trap Orb 	わなみえのたま
0x135 	Mug Orb 	ぶんどりのたま
0x136 	Rebound Orb 	はねかえしだま
0x137 	Lob Orb 	やまごえだま
0x138 	Switcher Orb 	ばしょがえだま
0x139 	Blowback Orb 	ふっとびだま
0x13a 	Warp Orb 	ワープだま
0x13b 	Transfer Orb 	へんげのたま
0x13c 	Slow Orb 	どんそくだま
0x13d 	Quick Orb 	しゅんそくだま
0x13e 	Luminous Orb 	ひかりのたま
0x13f 	Petrify Orb 	しばりだま
0x140 	Stayaway Orb 	しのぎのたま
0x141 	Pounce Orb 	とびつきのたま
0x142 	Trawl Orb 	ひきよせのたま
0x143 	Cleanse Orb 	せんたくだま
0x144 	$$$ 	$$$
0x145 	Decoy Orb 	みがわりだま
0x146 	Slumber Orb 	バクスイだま
0x147 	Totter Orb 	ふらふらだま
0x148 	Two-Edge Orb 	もろはのたま
0x149 	Silence Orb 	ちんもくだま
0x14a 	Escape Orb 	あなぬけのたま
0x14b 	Scanner Orb 	ものみのたま
0x14c 	Radar Orb 	たんちのたま
0x14d 	Drought Orb 	ひあがりだま
0x14e 	Trapbust Orb 	わなこわしだま
0x14f 	Rollcall Orb 	あつまれだま
0x150 	Invisify Orb 	とうめいのたま
0x151 	One-Shot Orb 	いちげきのたま
0x152 	Identify Orb 	しきべつのたま
0x153 	$$$ 	$$$
0x154 	Shocker Orb 	ビックリだま
0x155 	Sizebust Orb 	ひれいだま
0x156 	One-Room Orb 	おおべやのたま
0x157 	Fill-In Orb 	うめたてのたま
0x158 	Trapper Orb 	わなのたま
0x159 	$$$ 	$$$
0x15a 	Itemizer Orb 	ものがえだま
0x15b 	Hurl Orb 	なげとばしだま
0x15c 	Mobile Orb 	つうかのたま
0x15d 	$$$ 	$$$
0x15e 	Stairs Orb 	かいだんのたま
0x15f 	Longtoss Orb 	えんとうだま
0x160 	Pierce Orb 	かんつうだま
0x161 	$$$ 	$$$
0x162 	Spurn Orb 	はらいのけだま
0x163 	Foe-Hold Orb 	てきしばりだま
0x164 	All-Mach Orb 	みなマッハだま
0x165 	Foe-Fear Orb 	てきおびえだま
0x166 	All-Hit Orb 	みなヒットだま
0x167 	Foe-Seal Orb 	てきふうじだま
0x168 	$$$ 	$$$
0x169 	$$$ 	$$$
0x16a 	Link Box 	れんけつばこ
0x16b 	$$$ 	$$$
0x16c 	Gorgeous Box 	うつくしいはこ
0x16d 	Gorgeous Box 	うつくしいはこ
0x16e 	Gorgeous Box 	うつくしいはこ
0x16f 	Heavy Box 	おもいはこ
0x170 	Heavy Box 	おもいはこ
0x171 	Heavy Box 	おもいはこ
0x172 	Shiny Box 	かがやくはこ
0x173 	Shiny Box 	かがやくはこ
0x174 	Shiny Box 	かがやくはこ
0x175 	Nifty Box 	かっこいいはこ
0x176 	Nifty Box 	かっこいいはこ
0x177 	Nifty Box 	かっこいいはこ
0x178 	Dainty Box 	かわいいはこ
0x179 	Dainty Box 	かわいいはこ
0x17a 	Dainty Box 	かわいいはこ
0x17b 	Glittery Box 	きらめくはこ
0x17c 	Glittery Box 	きらめくはこ
0x17d 	Glittery Box 	きらめくはこ
0x17e 	Pretty Box 	きれいなはこ
0x17f 	Pretty Box 	きれいなはこ
0x180 	Pretty Box 	きれいなはこ
0x181 	Deluxe Box 	ごうかなはこ
0x182 	Deluxe Box 	ごうかなはこ
0x183 	Deluxe Box 	ごうかなはこ
0x184 	Light Box 	かるいはこ
0x185 	Light Box 	かるいはこ
0x186 	Light Box 	かるいはこ
0x187 	Cute Box 	キュートなはこ
0x188 	Cute Box 	キュートなはこ
0x189 	Cute Box 	キュートなはこ
0x18a 	Hard Box 	かたいはこ
0x18b 	Hard Box 	かたいはこ
0x18c 	Hard Box 	かたいはこ
0x18d 	Sinister Box 	あやしいはこ
0x18e 	Sinister Box 	あやしいはこ
0x18f 	Sinister Box 	あやしいはこ
0x190 	A-Stone 	Aのいし
0x191 	B-Stone 	Bのいし
0x192 	C-Stone 	Cのいし
0x193 	D-Stone 	Dのいし
0x194 	E-Stone 	Eのいし
0x195 	F-Stone 	Fのいし
0x196 	G-Stone 	Gのいし
0x197 	H-Stone 	Hのいし
0x198 	I-Stone 	Iのいし
0x199 	J-Stone 	Jのいし
0x19a 	K-Stone 	Kのいし
0x19b 	L-Stone 	Lのいし
0x19c 	M-Stone 	Mのいし
0x19d 	N-Stone 	Nのいし
0x19e 	O-Stone 	Oのいし
0x19f 	P-Stone 	Pのいし
0x1a0 	Q-Stone 	Qのいし
0x1a1 	R-Stone 	Rのいし
0x1a2 	S-Stone 	Sのいし
0x1a3 	T-Stone 	Tのいし
0x1a4 	U-Stone 	Uのいし
0x1a5 	V-Stone 	Vのいし
0x1a6 	W-Stone 	Wのいし
0x1a7 	X-Stone 	Xのいし
0x1a8 	Y-Stone 	Yのいし
0x1a9 	Z-Stone 	Zのいし
0x1aa 	!-Stone 	!のいし
0x1ab 	?-Stone 	?のいし
0x1ac 	Silver Bow 	シルバーリボン
0x1ad 	Brown Bow 	ブラウンリボン
0x1ae 	Red Bow 	レッドリボン
0x1af 	Pink Bow 	ピンクリボン
0x1b0 	Orange Bow 	オレンジリボン
0x1b1 	Yellow Bow 	イエローリボン
0x1b2 	Lime Bow 	きみどりリボン
0x1b3 	Green Bow 	グリーンリボン
0x1b4 	Viridian Bow 	ふかみどりリボン
0x1b5 	Minty Bow 	ミントいろリボン
0x1b6 	Sky Blue Bow 	みずいろリボン
0x1b7 	Blue Bow 	ブルーリボン
0x1b8 	Cobalt Bow 	こんいろリボン
0x1b9 	Purple Bow 	むらさきリボン
0x1ba 	Violet Bow 	すみれいろリボン
0x1bb 	Fuchsia Bow 	こいピンクリボン
0x1bc 	Prism Ruff 	なないろマフラー
0x1bd 	Aqua Collar 	みずのえりまき
0x1be 	Volt Collar 	かみなりえりまき
0x1bf 	Fire Collar 	ほのおのえりまき
0x1c0 	Light Collar 	ひかりのえりまき
0x1c1 	Dusk Collar 	やみのえりまき
0x1c2 	Virid Collar 	きせきのえりまき
0x1c3 	Icy Collar 	ふぶきのえりまき
0x1c4 	Pep Sash 	げんきなバンダナ
0x1c5 	Counter Ruff 	けっしのマフラー
0x1c6 	Victory Belt 	しょうりのベルト
0x1c7 	Power Bangle 	パワフルバングル
0x1c8 	Thundershard 	かみなりのかけら
0x1c9 	Fallen Star 	ながれぼし
0x1ca 	Fluff Dust 	ふわふわパウダー
0x1cb 	Egg Shard 	タマゴのかけら
0x1cc 	Heroic Medal 	ヒーローのメダル
0x1cd 	Chic Shard 	おしゃれなかけら
0x1ce 	Yellow Jewel 	きいろのジュエル
0x1cf 	Red Jewel 	あかいジュエル
0x1d0 	Blue Jewel 	あおいジュエル
0x1d1 	Laugh Dust 	ニコニコパウダー
0x1d2 	Guard Sand 	まもりのすな
0x1d3 	Purple Jewel 	むらさきジュエル
0x1d4 	White Jewel 	しろいジュエル
0x1d5 	Brave Dust 	ブレイブパウダー
0x1d6 	Heal Dew 	かいふくのしずく
0x1d7 	Marine Cache 	しんかいのたから
0x1d8 	Freeze Veil 	フリーズベール
0x1d9 	Thunder Veil 	サンダーベール
0x1da 	Fire Veil 	ファイヤーベール
0x1db 	Havoc Robe 	はかいのローブ
0x1dc 	Life Ring 	いのちのゆびわ
0x1dd 	Bolt Fang 	いかずちのキバ
0x1de 	Flare Fang 	えんじょうのキバ
0x1df 	Aqua Mantle 	みずのはごろも
0x1e0 	Silver Veil 	プラチナベール
0x1e1 	Rainbow Veil 	レインボーベール
0x1e2 	Chrono Veil 	ときのベール
0x1e3 	Rock Sash 	ロックバンダナ
0x1e4 	Ice Sash 	アイスバンダナ
0x1e5 	Steel Sash 	スチルバンダナ
0x1e6 	Heart Brooch 	こころのブローチ
0x1e7 	Eon Veil 	むげんのベール
0x1e8 	Seabed Veil 	かいていのベール
0x1e9 	Terra Ring 	だいちのゆびわ
0x1ea 	SkyHigh Veil 	てんくうのベール
0x1eb 	Wish Mantle 	ねがいのはごろも
0x1ec 	Revive Robe 	さいせいのローブ
0x1ed 	Shadow Veil 	シャドーベール
0x1ee 	Plasma Veil 	プラズマベール
0x1ef 	Edify Robe 	さとりのローブ
0x1f0 	Charity Robe 	めぐみのローブ
0x1f1 	Hope Robe 	きぼうのローブ
0x1f2 	Time Shield 	タイムシールド
0x1f3 	Air Blade 	エアーブレード
0x1f4 	Searing Ring 	やけつくゆびわ
0x1f5 	Ancient Ring 	いにしえのゆびわ
0x1f6 	Nether Veil 	めいかいのベール
0x1f7 	Lunar Veil 	みかづきのベール
0x1f8 	Tidal Cape 	しおさいのケープ
0x1f9 	Eclipse Robe 	あんこくのローブ
0x1fa 	White Silk 	しろいシフォン
0x1fb 	Normal Dust 	ノーマルパウダー
0x1fc 	White Gem 	ホワイトジェム
0x1fd 	Joy Globe 	しあわせのオーブ
0x1fe 	Red Silk 	あかいシフォン
0x1ff 	Fire Dust 	ほのおのパウダー
0x200 	Fiery Gem 	ファイヤージェム
0x201 	Fiery Globe 	ほのおのオーブ
0x202 	Blue Silk 	あおいシフォン
0x203 	Water Dust 	みずのパウダー
0x204 	Aqua Gem 	アクアジェム
0x205 	Aqua Globe 	みずのオーブ
0x206 	Grass Silk 	わかくさシフォン
0x207 	Grass Dust 	くさのパウダー
0x208 	Grass Gem 	グラスジェム
0x209 	Soothe Globe 	いやしのオーブ
0x20a 	Yellow Silk 	きいろのシフォン
0x20b 	Thunder Dust 	でんきのパウダー
0x20c 	Thunder Gem 	サンダージェム
0x20d 	Volt Globe 	かみなりのオーブ
0x20e 	Clear Silk 	とうめいシフォン
0x20f 	Icy Dust 	こおりのパウダー
0x210 	Icy Gem 	アイスジェム
0x211 	Icy Globe 	こおりのオーブ
0x212 	Orange Silk 	だいだいシフォン
0x213 	Courage Dust 	きあいのパウダー
0x214 	Fight Gem 	ファイトジェム
0x215 	Power Globe 	パワフルオーブ
0x216 	Pink Silk 	ももいろシフォン
0x217 	Poison Dust 	どくのパウダー
0x218 	Poison Gem 	ポイズンジェム
0x219 	Poison Globe 	どくのオーブ
0x21a 	Brown Silk 	ちゃいろシフォン
0x21b 	Ground Dust 	じめんのパウダー
0x21c 	Earth Gem 	アースジェム
0x21d 	Terra Globe 	だいちのオーブ
0x21e 	Sky Silk 	そらいろシフォン
0x21f 	Sky Dust 	そらのパウダー
0x220 	Sky Gem 	スカイジェム
0x221 	Sky Globe 	てんくうのオーブ
0x222 	Gold Silk 	きんいろシフォン
0x223 	Psyche Dust 	ねんりきパウダー
0x224 	Psyche Gem 	サイキックジェム
0x225 	Psyche Globe 	サイキックオーブ
0x226 	Green Silk 	みどりのシフォン
0x227 	Wonder Dust 	ふしぎなパウダー
0x228 	Guard Gem 	ガードジェム
0x229 	Defend Globe 	まもりのオーブ
0x22a 	Gray Silk 	はいいろシフォン
0x22b 	Rock Dust 	いわのパウダー
0x22c 	Stone Gem 	ストーンジェム
0x22d 	Rock Globe 	いわのオーブ
0x22e 	Purple Silk 	むらさきシフォン
0x22f 	Shady Dust 	あやしいパウダー
0x230 	Shadow Gem 	シャドージェム
0x231 	Nether Globe 	れいかいのオーブ
0x232 	Royal Silk 	こんいろシフォン
0x233 	Dragon Dust 	りゅうのパウダー
0x234 	Dragon Gem 	ドラゴンジェム
0x235 	Dragon Globe 	ドラゴンオーブ
0x236 	Black Silk 	くろいシフォン
0x237 	Dark Dust 	あくのパウダー
0x238 	Dark Gem 	ダークジェム
0x239 	Dusk Globe 	やみのオーブ
0x23a 	Iron Silk 	ぎんいろシフォン
0x23b 	Steel Dust 	はがねのパウダー
0x23c 	Metal Gem 	メタルジェム
0x23d 	Steel Globe 	はがねのオーブ
0x23e 	Bulba-Claw 	フシギダネのツメ
0x23f 	Bulba-Fang 	フシギダネのキバ
0x240 	Grass-Guard 	くさまもりのいし
0x241 	Leafy Tie 	リーフミサンガ
0x242 	Ivy-Claw 	フシギソウのツメ
0x243 	Ivy-Fang 	フシギソウのキバ
0x244 	Ivy-Crest 	フシギソウのごふ
0x245 	Plant Torc 	プラントリング
0x246 	Venus-Claw 	フシギバナのツメ
0x247 	Venus-Fang 	フシギバナのキバ
0x248 	Venus-Seal 	フシギバナのいん
0x249 	Solar Sash 	ソーラーバンダナ
0x24a 	Char-Claw 	ヒトカゲのツメ
0x24b 	Char-Fang 	ヒトカゲのキバ
0x24c 	Fiery Heart 	ほのおのハート
0x24d 	Heat Armlet 	ほかげのうでわ
0x24e 	Charme-Claw 	リザードのツメ
0x24f 	Charme-Fang 	リザードのキバ
0x250 	Charme-Crest 	リザードのごふ
0x251 	Kindle Scarf 	かえんのスカーフ
0x252 	Chariz-Claw 	リザードンのツメ
0x253 	Chariz-Fang 	リザードンのキバ
0x254 	Chariz-Seal 	リザードンのいん
0x255 	Flame Bangle 	フレイムバングル
0x256 	Squirt-Foam 	ゼニガメのあわ
0x257 	Squirt-Card 	ゼニガメのカード
0x258 	Water-Guard 	みずまもりのいし
0x259 	Aqua Tie 	アクアミサンガ
0x25a 	Wartor-Claw 	カメールのツメ
0x25b 	Wartor-Fang 	カメールのキバ
0x25c 	Wartor-Crest 	カメールのごふ
0x25d 	BubbleBangle 	バブルバングル
0x25e 	Blasto-Claw 	カメックスのツメ
0x25f 	Blasto-Card 	カメックスカード
0x260 	Blasto-Seal 	カメックスのいん
0x261 	Hydro Band 	ハイドロハチマキ
0x262 	Pichu Hair 	ピチューのけ
0x263 	Pichu Card 	ピチューのカード
0x264 	Express Tag 	せんせいのおふだ
0x265 	Shocker Cape 	でんげきのケープ
0x266 	Pikachu Hair 	ピカチュウのけ
0x267 	Pikachu Card 	ピカチュウカード
0x268 	Volt Charm 	でんきのおまもり
0x269 	Volt Torc 	ボルテックリング
0x26a 	Raichu Hair 	ライチュウのけ
0x26b 	Raichu Card 	ライチュウカード
0x26c 	Raichu Crest 	ライチュウのごふ
0x26d 	Zapper Scarf 	らくらいスカーフ
0x26e 	Meowth Claw 	ニャースのツメ
0x26f 	Meowth Fang 	ニャースのキバ
0x270 	Coin Charm 	こばんのおまもり
0x271 	Bling Ruff 	もうかりマフラー
0x272 	Persian Claw 	ペルシアンのツメ
0x273 	Persian Fang 	ペルシアンのキバ
0x274 	Insight Rock 	みきわめのいし
0x275 	Noble Scarf 	こうきなスカーフ
0x276 	Chiko-Claw 	チコリータのツメ
0x277 	Chiko-Card 	チコリータカード
0x278 	Dawn Jewel 	あさひのほうじゅ
0x279 	Fresh Bow 	フレッシュリボン
0x27a 	Bayleef Claw 	ベイリーフのツメ
0x27b 	Bayleef Card 	ベイリーフカード
0x27c 	Bayleef Seal 	ベイリーフのいん
