# Gummi eat positions — every advance count (since quicksave) at which eating
# a gummi lands on Attack or an omniboost. Let's go together, seed a61564cd.
# Generated by: python tools/gummi_positions.py --stat 0 --count 1000
# (omniboost = all four stats; otherwise the boost is Attack)

Advances | Boost
12531 | Attack
12556 | Attack
12563 | Attack
12572 | Omniboost
12589 | Attack
12596 | Attack
12602 | Attack
12607 | Attack
12614 | Attack
12636 | Attack
12638 | Omniboost
12647 | Attack
12655 | Attack
12658 | Omniboost
12674 | Attack
12685 | Attack
12693 | Attack
12743 | Attack
12752 | Attack
12777 | Attack
12779 | Attack
12781 | Attack
12807 | Omniboost
12810 | Attack
12831 | Attack
12845 | Attack
12892 | Attack
12897 | Attack
12925 | Attack
12934 | Omniboost
12939 | Attack
12953 | Attack
12955 | Attack
12969 | Attack
12978 | Attack
12980 | Attack
12993 | Omniboost
12999 | Attack
13001 | Omniboost
13017 | Attack
13019 | Attack
13022 | Attack
13029 | Omniboost
13031 | Attack
13034 | Attack
13042 | Attack
13060 | Omniboost
13079 | Attack
13087 | Attack
13101 | Attack
13106 | Attack
13115 | Attack
13128 | Attack
13130 | Attack
13146 | Omniboost
13152 | Attack
13160 | Attack
13162 | Attack
13179 | Attack
13181 | Attack
13183 | Attack
13186 | Omniboost
13205 | Attack
13211 | Omniboost
13251 | Attack
13254 | Attack
13277 | Attack
13279 | Omniboost
13283 | Attack
13286 | Attack
13299 | Attack
13323 | Omniboost
13359 | Attack
13361 | Omniboost
13392 | Attack
13393 | Attack
13395 | Omniboost
13490 | Attack
13492 | Attack
13494 | Attack
13509 | Attack
